Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
"SITAKUNDA,CTG",233,Sitakunda,Chittagong,Chittagong
"RAOZAN,CTG",137,Raozan,Chittagong,Chittagong
"FATIKCHARI,CTG",130,Fatikchhari,Chittagong,Chittagong
"HATHAZARI,CTG",117,Hathazari,Chittagong,Chittagong
"KHULSHI,CTG",112,Khulshi,Chittagong,Chittagong
"RANGUNIA,CTG",110,Rangunia,Chittagong,Chittagong
"BOALKHALI,CTG",108,Boalkhali,Chittagong,Chittagong
"PAHARTOLI,CTG",102,Pahartali,Chittagong,Chittagong
"PATIYA,CTG",98,Patiya,Chittagong,Chittagong
"ANOWARA,CTG",92,Anowara,Chittagong,Chittagong
"HALISHAHAR,CTG",91,Halishahar,Chittagong,Chittagong
"MIRSARAI,CTG",80,Sarail,Brahamanbaria,Chittagong
"SANDWIP,CTG",76,Sandwip,Chittagong,Chittagong
"CHANDGAO,CTG",72,Chandgaon,Chittagong,Chittagong
"PANCHLAISH,CTG",67,Panchlaish,Chittagong,Chittagong
SITAKUNDA CTG,64,Sitakunda,Chittagong,Chittagong
"BANSHKHALI,CTG",58,Banshkhali,Chittagong,Chittagong
NOAKHALI,54,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"SATKANIA,CTG",54,Satkania,Chittagong,Chittagong
"KOTOWALI,CTG",49,Kotwali,Chittagong,Chittagong
"BAYAZID,CTG",47,Unknown,Unknown,Unknown
"DOUBLE MURING,CTG",47,Double Mooring,Chittagong,Chittagong
"LOHAGARA,CTG",42,Lohagara,Chittagong,Chittagong
"RANGUNIA, CTG",39,Rangunia,Chittagong,Chittagong
"BAKALIA,CTG",37,Bakalia,Chittagong,Chittagong
"BANDAR,CTG",34,Bandar,Narayanganj,Dhaka
"MIRSHARAI,CTG",34,Mirsharai,Chittagong,Chittagong
COX'SBAZAR,33,Cox's Bazar Sadar,Cox's Bazar,Chittagong
PATIYA CTG,33,Patiya,Chittagong,Chittagong
RANGUNIA CTG,33,Rangunia,Chittagong,Chittagong
"SITAKUNDA, CTG",33,Sitakunda,Chittagong,Chittagong
"AKBARSHAH,CTG",31,Unknown,Unknown,Unknown
"CHANDONAISH,CTG",31,Chandina,Comilla,Chittagong
"HATHAZARI, CTG",31,Hathazari,Chittagong,Chittagong
ANOWARA CTG,30,Anowara,Chittagong,Chittagong
BASHKHALI CTG,30,Banshkhali,Chittagong,Chittagong
CUMILLA,30,Comilla Adarsha Sadar,Comilla,Chittagong
"BANASKHALI,CTG",28,Unknown,Unknown,Unknown
"KARNAFULY,CTG",27,Unknown,Unknown,Unknown
HALISHAHAR CTG,26,Halishahar,Chittagong,Chittagong
"PATENGA,CTG",26,Patenga,Chittagong,Chittagong
"SANDIP,CTG",26,Sandwip,Chittagong,Chittagong
"FATIKCHARI, CTG",25,Fatikchhari,Chittagong,Chittagong
HATHAJARI CTG,25,Hathazari,Chittagong,Chittagong
FATIKCHARI CTG,24,Fatikchhari,Chittagong,Chittagong
MIRESHARAI CTG,24,Mirsharai,Chittagong,Chittagong
"PAHARTALI,CTG",24,Pahartali,Chittagong,Chittagong
SANDWIP CTG,24,Sandwip,Chittagong,Chittagong
AKBARSHAH CTG,22,Unknown,Unknown,Unknown
"BAIZID,CTG",22,Unknown,Unknown,Unknown
"BHATIARY,SITAKUNDA,CTG",22,Sitakunda,Chittagong,Chittagong
"ANOWARA, CTG",21,Anowara,Chittagong,Chittagong
